2018-06-10 01:09:08.071 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-06-10 01:09:08.117 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:09:08.117 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:09:08.147 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-10 01:09:08.495 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-06-10 01:09:08.517 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10086"]
2018-06-10 01:09:08.520 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-10086"]
2018-06-10 01:09:08.529 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2018-06-10 01:09:08.537 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 10086 (http)
2018-06-10 01:09:08.538 [main] INFO  c.s.s.c.springbootssm.config.rouorcesConfig.Runner - runner init.....
2018-06-10 01:09:08.539 [main] INFO  com.springbootpro.ssm.SsmApplication - Started SsmApplication in 2.857 seconds (JVM running for 4.016)
2018-06-10 01:09:41.173 [http-nio-10086-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-06-10 01:09:41.173 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-06-10 01:09:41.202 [http-nio-10086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 29 ms
2018-06-10 01:09:41.224 [http-nio-10086-exec-1] INFO  c.s.s.c.s.config.webConfig.FilterConfig - pass by my filter
2018-06-10 01:11:11.264 [main] INFO  com.springbootpro.ssm.SsmApplication - project init
2018-06-10 01:11:11.483 [main] INFO  com.springbootpro.ssm.SsmApplication - Starting SsmApplication on DESKTOP-ENODUB5 with PID 102972 (G:\ideaPro\springbootssm\target\classes started by Elliot in G:\ideaPro\springbootssm)
2018-06-10 01:11:11.484 [main] INFO  com.springbootpro.ssm.SsmApplication - No active profile set, falling back to default profiles: default
2018-06-10 01:11:11.519 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@78b729e6: startup date [Sun Jun 10 01:11:11 CST 2018]; root of context hierarchy
2018-06-10 01:11:11.570 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2018-06-10 01:11:11.603 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源环境...
2018-06-10 01:11:11.603 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载主数据源....
2018-06-10 01:11:11.647 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 主数据源加载完毕...
2018-06-10 01:11:11.647 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载更多数据源...
2018-06-10 01:11:11.648 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源:ds1
